user_id,first_name,flower,edible,extract,topical,tincture,preroll,vape,specialty_pods,indica,sativa,hybrid,cbd,monthly_spending,gender,probability,count
657785,Taylor,1,0,1,0,0,1,1,0,1,1,1,1,257,male,0.72,3370
417314,Roger,1,1,1,0,1,1,0,0,1,1,1,0,582,male,0.98,38190
597241,Sean,1,0,0,0,0,1,1,1,1,1,1,0,355,male,0.99,25765
1661178,Terraze,1,1,0,0,0,0,1,0,1,0,1,0,753,,0.0,0
1526403,dakota,1,1,0,0,0,1,1,0,1,1,1,0,1123,female,0.7,673
1617966,Krystyle,1,0,0,0,0,0,0,0,1,0,1,0,238,,0.0,0
496568,Andrea,1,0,0,0,0,1,1,0,1,1,1,0,653,male,0.62,302977
2033363,Oscar,1,1,1,0,0,0,1,0,1,1,1,0,897,male,0.99,69174
345761,Tiffany,0,1,1,1,0,1,1,1,1,1,1,1,483,female,0.98,10281
1640301,Taylor,1,0,0,0,0,1,1,0,1,1,1,0,1023,male,0.72,3370
425818,James,0,0,1,0,0,1,1,0,1,1,1,0,689,male,0.99,117309
